date,total_sales,tickets_sold
2018-09-28,9523550000,81321
2018-09-29,3206750000,33312
2018-09-30,3180315000,28392
2018-10-01,3387570000,30550
2018-10-02,8477999999,138614
2018-10-03,5234279991,46726
2018-10-04,10453034991,89690
2018-10-05,11283699990,96911
2018-10-06,6588964978,89459
2018-10-07,3768334999,35375
2018-10-08,3599469998,32834
2018-10-09,10796814997,184161
2018-10-10,7495844991,67403
2018-10-11,14213117993,124654
2018-10-12,16759698993,146927
2018-10-13,5023992987,61632
2018-10-14,4032354996,38890
2018-10-15,3916434993,37438
2018-10-16,12657389993,220296
2018-10-17,6567179993,65429
2018-10-18,13288750986,120177
2018-10-19,15350202989,140664
2018-10-20,5718004990,80123
2018-10-21,3630254995,37456
2018-10-22,3636149998,37895
2018-10-23,10545025000,187345
2018-10-24,6085099998,61019
2018-10-25,12051972986,109593
2018-10-26,13109354998,119722
2018-10-27,4930179998,70343
2018-10-28,3341139000,35178
2018-10-29,859461000,9738
2018-10-30,2070000,69
2018-10-31,4871998000,47644
2018-11-01,9071854998,80694
2018-11-02,9744695000,86748
2018-11-03,3208490000,45485
2018-11-04,682985000,7584
