name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
Faze jax5#8384440,88,1436,0.97289972899729,15,28,8,110,4148,208,327,2.9714285714285715,70,206,16173,272624,133.0903846153846,20321,1476
fizz-elims#5974296,21,746,1.1303030303030304,8,37,2,111,453,233,156,38.833333333333336,6,260,1425,444122,14.721888412017169,1878,660
CASHLORDROBBI#2074243,990,26346,0.9581060440759328,15,235,9,117,94744,3659,5190,4.340450771055752,843,4364,389170,6418070,134.0064498496857,483914,27498
ShockAndAwe6625#2229908,1,21,0.75,3,1,2,0,108,3,7,1.5,2,13,692,2625,269.2,800,28
GodzillaBjj#6611492,2,24,0.4615384615384616,3,2,1,0,94,4,5,4.0,1,9,729,4020,311.55,823,52
HeliosNight36#5727186,3,28,0.3943661971830985,2,3,2,0,161,14,8,14.0,1,11,617,8716,144.34285714285713,778,71
Slim_Driven1#6298105,78,704,0.6935960591133005,12,19,5,21,2583,135,109,2.547169811320755,53,169,14711,151660,205.0666666666667,17294,1015
loudjass60,91,2956,1.0915805022156573,13,36,5,111,9011,214,373,2.3777777777777778,90,443,29174,437390,263.75327102803743,38185,2708
conicolt#8511349,3,16,0.4324324324324325,4,1,1,0,100,6,6,6.0,1,8,774,2159,233.4,874,37
NemoTaker#9224587,164,2954,0.9625285109156076,9,43,7,3,11975,338,551,3.0178571428571432,112,468,46860,604525,217.63668639053256,58835,3069
PS4#4724361,2137,25177,0.8849560632688928,13,175,16,24,72461,3887,3259,3.6773888363292335,1057,5026,415655,3856965,193.0786724980705,488116,28450
WLD Cycl0ne#7832156,101,1641,0.7036878216123499,8,30,9,110,5999,230,295,2.9870129870129865,77,419,24566,314521,154.53652173913045,30565,2332
207LucasM#4976565,442,5892,1.004774897680764,15,53,13,110,19921,901,1001,3.6477732793522266,247,689,55870,917455,134.54850166481685,75791,5864
Connie Wonnie#3186006,596,16901,1.071378763866878,17,183,10,110,32378,1576,2831,3.9203980099502487,402,2605,144214,4198821,142.2190355329949,176592,15775
Kr_salte#4786394,94,2928,1.1265871489034245,12,37,7,110,7436,223,493,2.5930232558139537,86,380,38179,458128,273.5865470852018,45615,2599
patrickrouhie117#5992207,1,1,0.0526315789473684,0,1,1,0,0,8,0,8.0,1,0,40,1150,96.225,40,19
Pugsan_Tokyo#6760326,4,18,0.4864864864864865,3,1,1,0,64,5,5,5.0,1,2,482,2150,145.08,546,37
John_Doe#7710794,2,107,0.2955801104972376,2,17,2,30,39,178,21,178.0,1,1,454,122300,4.591011235955056,493,362
